"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA CONSUMPTION","22 Jan 2025","44.59","8.61",".99"
"NIFTY INDIA CONSUMPTION","21 Jan 2025","44.59","8.61",".99"
"NIFTY INDIA CONSUMPTION","20 Jan 2025","45.44","8.76",".97"
"NIFTY INDIA CONSUMPTION","17 Jan 2025","45.56","8.79",".97"
"NIFTY INDIA CONSUMPTION","16 Jan 2025","45.38","8.76",".97"
"NIFTY INDIA CONSUMPTION","15 Jan 2025","45.34","8.75",".97"
"NIFTY INDIA CONSUMPTION","14 Jan 2025","45.16","8.71",".98"
"NIFTY INDIA CONSUMPTION","13 Jan 2025","45.02","8.69",".98"
"NIFTY INDIA CONSUMPTION","10 Jan 2025","46.33","8.94",".95"
"NIFTY INDIA CONSUMPTION","09 Jan 2025","46.82","9.03",".94"
"NIFTY INDIA CONSUMPTION","08 Jan 2025","46.79","9.03",".94"
"NIFTY INDIA CONSUMPTION","07 Jan 2025","46.94","9.05",".94"
"NIFTY INDIA CONSUMPTION","06 Jan 2025","47.06","9.08",".94"
"NIFTY INDIA CONSUMPTION","03 Jan 2025","48.03","9.27",".92"
"NIFTY INDIA CONSUMPTION","02 Jan 2025","48.09","9.28",".92"
"NIFTY INDIA CONSUMPTION","01 Jan 2025","47.05","9.08",".94"
"NIFTY INDIA CONSUMPTION","31 Dec 2024","46.77","9.02",".94"
"NIFTY INDIA CONSUMPTION","30 Dec 2024","46.29","8.91",".96"
"NIFTY INDIA CONSUMPTION","27 Dec 2024","46.33","8.92",".96"
"NIFTY INDIA CONSUMPTION","26 Dec 2024","46.24","8.9",".96"
"NIFTY INDIA CONSUMPTION","24 Dec 2024","46.06","8.86",".96"
"NIFTY INDIA CONSUMPTION","23 Dec 2024","45.92","8.84",".97"
"NIFTY INDIA CONSUMPTION","20 Dec 2024","45.76","8.81",".97"
"NIFTY INDIA CONSUMPTION","19 Dec 2024","46.54","8.96",".95"
"NIFTY INDIA CONSUMPTION","18 Dec 2024","46.82","9.01",".95"
"NIFTY INDIA CONSUMPTION","17 Dec 2024","46.91","9.03",".95"
"NIFTY INDIA CONSUMPTION","16 Dec 2024","47.36","9.11",".94"
"NIFTY INDIA CONSUMPTION","13 Dec 2024","47.44","9.13",".94"
"NIFTY INDIA CONSUMPTION","12 Dec 2024","46.89","9.02",".95"
"NIFTY INDIA CONSUMPTION","11 Dec 2024","47.12","9.07",".94"
"NIFTY INDIA CONSUMPTION","10 Dec 2024","46.95","9.03",".95"
"NIFTY INDIA CONSUMPTION","09 Dec 2024","47.03","9.05",".94"
"NIFTY INDIA CONSUMPTION","06 Dec 2024","47.49","9.14",".94"
"NIFTY INDIA CONSUMPTION","05 Dec 2024","47.36","9.11",".94"
"NIFTY INDIA CONSUMPTION","04 Dec 2024","46.83","9.01",".95"
"NIFTY INDIA CONSUMPTION","03 Dec 2024","47.03","9.05",".94"
"NIFTY INDIA CONSUMPTION","02 Dec 2024","47.01","9.05",".94"
"NIFTY INDIA CONSUMPTION","29 Nov 2024","46.63","8.97",".95"
"NIFTY INDIA CONSUMPTION","28 Nov 2024","46.23","8.9",".96"
"NIFTY INDIA CONSUMPTION","27 Nov 2024","46.72","8.99",".95"
"NIFTY INDIA CONSUMPTION","26 Nov 2024","46.4","8.93",".96"
"NIFTY INDIA CONSUMPTION","25 Nov 2024","46.38","8.93",".96"
"NIFTY INDIA CONSUMPTION","22 Nov 2024","46.05","8.86",".96"
"NIFTY INDIA CONSUMPTION","21 Nov 2024","45.12","8.68",".98"
"NIFTY INDIA CONSUMPTION","19 Nov 2024","45.51","8.76",".98"
"NIFTY INDIA CONSUMPTION","18 Nov 2024","45.32","8.71",".97"
"NIFTY INDIA CONSUMPTION","14 Nov 2024","45.22","8.69",".98"
"NIFTY INDIA CONSUMPTION","13 Nov 2024","45.16","8.68",".98"
"NIFTY INDIA CONSUMPTION","12 Nov 2024","45.72","8.79",".97"
"NIFTY INDIA CONSUMPTION","11 Nov 2024","46.07","8.9",".96"
"NIFTY INDIA CONSUMPTION","08 Nov 2024","46.99","8.96",".96"
"NIFTY INDIA CONSUMPTION","07 Nov 2024","47.1","8.96",".96"
"NIFTY INDIA CONSUMPTION","06 Nov 2024","47.59","9.07",".95"
"NIFTY INDIA CONSUMPTION","05 Nov 2024","47.04","8.96",".88"
"NIFTY INDIA CONSUMPTION","04 Nov 2024","47.03","8.96",".88"
"NIFTY INDIA CONSUMPTION","01 Nov 2024","47.42","9.07",".92"
"NIFTY INDIA CONSUMPTION","31 Oct 2024","47.06","9",".94"
"NIFTY INDIA CONSUMPTION","30 Oct 2024","47.37","9.06",".93"
"NIFTY INDIA CONSUMPTION","29 Oct 2024","47.34","9.06",".93"
"NIFTY INDIA CONSUMPTION","28 Oct 2024","47.32","9.09",".93"
"NIFTY INDIA CONSUMPTION","25 Oct 2024","47.23","9.06",".93"
"NIFTY INDIA CONSUMPTION","24 Oct 2024","47.6","9.13",".93"
"NIFTY INDIA CONSUMPTION","23 Oct 2024","48.35","9.25",".91"
"NIFTY INDIA CONSUMPTION","22 Oct 2024","48.42","9.27",".91"
"NIFTY INDIA CONSUMPTION","21 Oct 2024","49.15","9.41",".9"
"NIFTY INDIA CONSUMPTION","18 Oct 2024","49.29","9.43",".9"
"NIFTY INDIA CONSUMPTION","17 Oct 2024","49.27","9.46",".89"
"NIFTY INDIA CONSUMPTION","16 Oct 2024","50.5","9.69",".87"
"NIFTY INDIA CONSUMPTION","15 Oct 2024","50.89","9.77",".86"
"NIFTY INDIA CONSUMPTION","14 Oct 2024","50.8","9.75",".87"
"NIFTY INDIA CONSUMPTION","11 Oct 2024","50.73","9.74",".87"
"NIFTY INDIA CONSUMPTION","10 Oct 2024","50.72","9.74",".87"
"NIFTY INDIA CONSUMPTION","09 Oct 2024","50.86","9.76",".87"
"NIFTY INDIA CONSUMPTION","08 Oct 2024","50.85","9.76",".87"
"NIFTY INDIA CONSUMPTION","07 Oct 2024","50.06","9.61",".88"
"NIFTY INDIA CONSUMPTION","04 Oct 2024","50.44","9.68",".87"
"NIFTY INDIA CONSUMPTION","03 Oct 2024","51.24","9.84",".86"
"NIFTY INDIA CONSUMPTION","01 Oct 2024","52.32","10.04",".84"
"NIFTY INDIA CONSUMPTION","30 Sep 2024","52.38","10.05",".84"
"NIFTY INDIA CONSUMPTION","27 Sep 2024","56.9","9.96",".88"
"NIFTY INDIA CONSUMPTION","26 Sep 2024","57.08","9.99",".87"
"NIFTY INDIA CONSUMPTION","25 Sep 2024","56.43","9.88",".88"
"NIFTY INDIA CONSUMPTION","24 Sep 2024","56.68","9.92",".88"
"NIFTY INDIA CONSUMPTION","23 Sep 2024","56.83","9.95",".88"
"NIFTY INDIA CONSUMPTION","20 Sep 2024","56.1","10.1",".89"
"NIFTY INDIA CONSUMPTION","19 Sep 2024","54.93","9.95",".91"
"NIFTY INDIA CONSUMPTION","18 Sep 2024","54.6","9.92",".91"
"NIFTY INDIA CONSUMPTION","17 Sep 2024","54.72","9.99",".91"
"NIFTY INDIA CONSUMPTION","16 Sep 2024","54.48","9.95",".91"
"NIFTY INDIA CONSUMPTION","13 Sep 2024","54.51","9.95",".91"
"NIFTY INDIA CONSUMPTION","12 Sep 2024","54.86","10.11",".91"
"NIFTY INDIA CONSUMPTION","11 Sep 2024","53.79","9.93",".93"
"NIFTY INDIA CONSUMPTION","10 Sep 2024","53.67","9.9",".93"
"NIFTY INDIA CONSUMPTION","09 Sep 2024","53.29","9.85",".93"
"NIFTY INDIA CONSUMPTION","06 Sep 2024","52.81","9.76",".95"
"NIFTY INDIA CONSUMPTION","05 Sep 2024","53.09","9.81",".94"
"NIFTY INDIA CONSUMPTION","04 Sep 2024","52.97","9.79",".94"
"NIFTY INDIA CONSUMPTION","03 Sep 2024","52.9","9.77",".94"
"NIFTY INDIA CONSUMPTION","02 Sep 2024","52.98","9.79",".94"
"NIFTY INDIA CONSUMPTION","30 Aug 2024","52.87","9.77",".94"
"NIFTY INDIA CONSUMPTION","29 Aug 2024","52.61","9.73",".95"
"NIFTY INDIA CONSUMPTION","28 Aug 2024","52.48","9.71",".95"
"NIFTY INDIA CONSUMPTION","27 Aug 2024","52.36","9.69",".95"
"NIFTY INDIA CONSUMPTION","26 Aug 2024","52.59","9.73",".95"
"NIFTY INDIA CONSUMPTION","23 Aug 2024","52.38","9.69",".95"
"NIFTY INDIA CONSUMPTION","22 Aug 2024","52.31","9.68",".95"
"NIFTY INDIA CONSUMPTION","21 Aug 2024","52.01","9.62",".96"
"NIFTY INDIA CONSUMPTION","20 Aug 2024","51.61","9.55",".96"
"NIFTY INDIA CONSUMPTION","19 Aug 2024","51.53","9.53",".97"
"NIFTY INDIA CONSUMPTION","16 Aug 2024","51.63","9.55",".97"
"NIFTY INDIA CONSUMPTION","14 Aug 2024","51.12","9.41",".97"
"NIFTY INDIA CONSUMPTION","13 Aug 2024","51.02","9.39",".99"
"NIFTY INDIA CONSUMPTION","12 Aug 2024","51.38","9.42",".99"
"NIFTY INDIA CONSUMPTION","09 Aug 2024","51.69","9.47","1.01"
"NIFTY INDIA CONSUMPTION","08 Aug 2024","51.1","9.35","1.02"
"NIFTY INDIA CONSUMPTION","07 Aug 2024","51.39","9.4","1.01"
"NIFTY INDIA CONSUMPTION","06 Aug 2024","51.67","9.27",".95"
"NIFTY INDIA CONSUMPTION","05 Aug 2024","52.01","9.33",".95"
"NIFTY INDIA CONSUMPTION","02 Aug 2024","53.1","9.5",".94"
"NIFTY INDIA CONSUMPTION","01 Aug 2024","53.85","9.56",".88"
"NIFTY INDIA CONSUMPTION","31 Jul 2024","53.78","9.54",".87"
"NIFTY INDIA CONSUMPTION","30 Jul 2024","53.38","9.47",".86"
"NIFTY INDIA CONSUMPTION","29 Jul 2024","53.57","9.5",".86"
"NIFTY INDIA CONSUMPTION","26 Jul 2024","53.33","9.51",".88"
"NIFTY INDIA CONSUMPTION","25 Jul 2024","52.29","9.32",".9"
"NIFTY INDIA CONSUMPTION","24 Jul 2024","52.44","9.34",".9"
"NIFTY INDIA CONSUMPTION","23 Jul 2024","52.51","9.36",".9"
"NIFTY INDIA CONSUMPTION","22 Jul 2024","51.94","9.35",".91"
"NIFTY INDIA CONSUMPTION","19 Jul 2024","51.71","9.3",".92"
"NIFTY INDIA CONSUMPTION","18 Jul 2024","52.26","9.41",".9"
"NIFTY INDIA CONSUMPTION","16 Jul 2024","52.03","9.37",".9"
"NIFTY INDIA CONSUMPTION","15 Jul 2024","51.82","9.29",".89"
"NIFTY INDIA CONSUMPTION","12 Jul 2024","51.47","9.45",".96"
"NIFTY INDIA CONSUMPTION","11 Jul 2024","51.41","9.44",".96"
"NIFTY INDIA CONSUMPTION","10 Jul 2024","51.39","9.44",".96"
"NIFTY INDIA CONSUMPTION","09 Jul 2024","51.6","9.48",".96"
"NIFTY INDIA CONSUMPTION","08 Jul 2024","50.98","9.36",".97"
"NIFTY INDIA CONSUMPTION","05 Jul 2024","50.89","9.35",".97"
"NIFTY INDIA CONSUMPTION","04 Jul 2024","50.66","9.3",".91"
"NIFTY INDIA CONSUMPTION","03 Jul 2024","50.63","9.3",".9"
"NIFTY INDIA CONSUMPTION","02 Jul 2024","50.37","9.25",".9"
"NIFTY INDIA CONSUMPTION","01 Jul 2024","50.76","9.32",".9"
"NIFTY INDIA CONSUMPTION","28 Jun 2024","50.49","9.27",".95"
"NIFTY INDIA CONSUMPTION","27 Jun 2024","51.13","9.3",".92"
"NIFTY INDIA CONSUMPTION","26 Jun 2024","50.91","9.26",".91"
"NIFTY INDIA CONSUMPTION","25 Jun 2024","50.89","9.26",".91"
"NIFTY INDIA CONSUMPTION","24 Jun 2024","51.05","9.29",".91"
"NIFTY INDIA CONSUMPTION","21 Jun 2024","50.63","9.22",".92"
"NIFTY INDIA CONSUMPTION","20 Jun 2024","50.9","9.28",".91"
"NIFTY INDIA CONSUMPTION","19 Jun 2024","51.03","9.34",".91"
"NIFTY INDIA CONSUMPTION","18 Jun 2024","51.63","9.45",".97"
"NIFTY INDIA CONSUMPTION","14 Jun 2024","51.51","9.47",".97"
"NIFTY INDIA CONSUMPTION","13 Jun 2024","51.07","9.39",".87"
"NIFTY INDIA CONSUMPTION","12 Jun 2024","50.94","9.39",".88"
"NIFTY INDIA CONSUMPTION","11 Jun 2024","50.96","9.39",".88"
"NIFTY INDIA CONSUMPTION","10 Jun 2024","50.97","9.4",".83"
"NIFTY INDIA CONSUMPTION","07 Jun 2024","51.03","9.41",".87"
"NIFTY INDIA CONSUMPTION","06 Jun 2024","50.11","9.24",".89"
"NIFTY INDIA CONSUMPTION","05 Jun 2024","50.04","9.22",".89"
"NIFTY INDIA CONSUMPTION","04 Jun 2024","47.9","8.83",".93"
"NIFTY INDIA CONSUMPTION","03 Jun 2024","48.84","8.99",".75"
"NIFTY INDIA CONSUMPTION","31 May 2024","48.12","8.86",".77"
"NIFTY INDIA CONSUMPTION","30 May 2024","48.28","8.89",".76"
"NIFTY INDIA CONSUMPTION","29 May 2024","48.86","8.99",".96"
"NIFTY INDIA CONSUMPTION","28 May 2024","49.01","9.02",".95"
"NIFTY INDIA CONSUMPTION","27 May 2024","49.24","9.06",".95"
"NIFTY INDIA CONSUMPTION","24 May 2024","49.39","9.09",".95"
"NIFTY INDIA CONSUMPTION","23 May 2024","49.65","9.13",".93"
"NIFTY INDIA CONSUMPTION","22 May 2024","49.08","9.03",".94"
"NIFTY INDIA CONSUMPTION","21 May 2024","48.81","8.98",".92"
"NIFTY INDIA CONSUMPTION","18 May 2024","49.24","8.99",".95"
"NIFTY INDIA CONSUMPTION","17 May 2024","49.16","8.98",".95"
"NIFTY INDIA CONSUMPTION","16 May 2024","48.81","8.91",".96"
"NIFTY INDIA CONSUMPTION","15 May 2024","47.64","8.82",".97"
"NIFTY INDIA CONSUMPTION","14 May 2024","48.01","8.83",".97"
"NIFTY INDIA CONSUMPTION","13 May 2024","47.87","8.79",".96"
"NIFTY INDIA CONSUMPTION","10 May 2024","47.94","8.8",".96"
"NIFTY INDIA CONSUMPTION","09 May 2024","47.51","8.7",".97"
"NIFTY INDIA CONSUMPTION","08 May 2024","48.16","8.82",".95"
"NIFTY INDIA CONSUMPTION","07 May 2024","47.29","8.79",".96"
"NIFTY INDIA CONSUMPTION","06 May 2024","47.31","8.79",".96"
"NIFTY INDIA CONSUMPTION","03 May 2024","47.31","8.79",".96"
"NIFTY INDIA CONSUMPTION","02 May 2024","47.66","8.85",".95"
"NIFTY INDIA CONSUMPTION","30 Apr 2024","47.74","8.8",".96"
"NIFTY INDIA CONSUMPTION","29 Apr 2024","47.94","8.76",".96"
"NIFTY INDIA CONSUMPTION","26 Apr 2024","47.88","8.74",".96"
"NIFTY INDIA CONSUMPTION","25 Apr 2024","48.03","8.76",".96"
"NIFTY INDIA CONSUMPTION","24 Apr 2024","47.83","8.75",".96"
"NIFTY INDIA CONSUMPTION","23 Apr 2024","47.82","8.75",".96"
"NIFTY INDIA CONSUMPTION","22 Apr 2024","47.45","8.68",".97"
"NIFTY INDIA CONSUMPTION","19 Apr 2024","47.16","8.61",".99"
"NIFTY INDIA CONSUMPTION","18 Apr 2024","46.77","8.54","1"
"NIFTY INDIA CONSUMPTION","16 Apr 2024","46.98","8.57","1"
"NIFTY INDIA CONSUMPTION","15 Apr 2024","47.02","8.58","1"
"NIFTY INDIA CONSUMPTION","12 Apr 2024","47.49","8.67","1.02"
"NIFTY INDIA CONSUMPTION","10 Apr 2024","47.91","8.77","1.01"
"NIFTY INDIA CONSUMPTION","09 Apr 2024","47.53","8.70","1.02"
"NIFTY INDIA CONSUMPTION","08 Apr 2024","47.63","8.72","1.01"
"NIFTY INDIA CONSUMPTION","05 Apr 2024","47.20","8.64","1.02"
"NIFTY INDIA CONSUMPTION","04 Apr 2024","47.28","8.65","1.02"
"NIFTY INDIA CONSUMPTION","03 Apr 2024","47.07","8.61","1.02"
"NIFTY INDIA CONSUMPTION","02 Apr 2024","47.20","8.64","1.02"
"NIFTY INDIA CONSUMPTION","01 Apr 2024","47.08","8.62","1.02"
"NIFTY INDIA CONSUMPTION","28 Mar 2024","47.06","8.61","1.03"
"NIFTY INDIA CONSUMPTION","27 Mar 2024","45.83","8.63","1.03"
"NIFTY INDIA CONSUMPTION","26 Mar 2024","45.62","8.59","1.03"
"NIFTY INDIA CONSUMPTION","22 Mar 2024","45.72","8.61","1.03"
"NIFTY INDIA CONSUMPTION","21 Mar 2024","45.23","8.52","1.04"
"NIFTY INDIA CONSUMPTION","20 Mar 2024","44.92","8.46","1.05"
"NIFTY INDIA CONSUMPTION","19 Mar 2024","44.68","8.42","1.05"
"NIFTY INDIA CONSUMPTION","18 Mar 2024","45.20","8.51","1.04"
"NIFTY INDIA CONSUMPTION","15 Mar 2024","45.10","8.49","1.04"
"NIFTY INDIA CONSUMPTION","14 Mar 2024","45.27","8.53","1.04"
"NIFTY INDIA CONSUMPTION","13 Mar 2024","44.62","8.40","1.06"
"NIFTY INDIA CONSUMPTION","12 Mar 2024","45.43","8.56","1.04"
"NIFTY INDIA CONSUMPTION","11 Mar 2024","45.66","8.60","1.03"
"NIFTY INDIA CONSUMPTION","07 Mar 2024","45.85","8.63","1.04"
"NIFTY INDIA CONSUMPTION","06 Mar 2024","45.57","8.58","1.04"
"NIFTY INDIA CONSUMPTION","05 Mar 2024","45.23","8.52","1.04"
"NIFTY INDIA CONSUMPTION","04 Mar 2024","45.22","8.52","1.04"
"NIFTY INDIA CONSUMPTION","02 Mar 2024","45.38","8.55","1.03"
"NIFTY INDIA CONSUMPTION","01 Mar 2024","45.22","8.52","1.04"
"NIFTY INDIA CONSUMPTION","29 Feb 2024","44.86","8.45","1.05"
"NIFTY INDIA CONSUMPTION","28 Feb 2024","44.84","8.45","1.05"
"NIFTY INDIA CONSUMPTION","27 Feb 2024","45.47","8.56","1.03"
"NIFTY INDIA CONSUMPTION","26 Feb 2024","45.26","8.52","1.04"
"NIFTY INDIA CONSUMPTION","23 Feb 2024","45.53","8.58","1.03"
"NIFTY INDIA CONSUMPTION","22 Feb 2024","45.58","8.58","1.03"
"NIFTY INDIA CONSUMPTION","21 Feb 2024","45.16","8.50","1.04"
"NIFTY INDIA CONSUMPTION","20 Feb 2024","45.24","8.52","0.99"
"NIFTY INDIA CONSUMPTION","19 Feb 2024","45.26","8.53","0.99"
"NIFTY INDIA CONSUMPTION","16 Feb 2024","44.95","8.47","1.03"
"NIFTY INDIA CONSUMPTION","15 Feb 2024","44.53","8.39","1.03"
"NIFTY INDIA CONSUMPTION","14 Feb 2024","44.54","8.37","1.15"
"NIFTY INDIA CONSUMPTION","13 Feb 2024","44.24","8.31","1.16"
"NIFTY INDIA CONSUMPTION","12 Feb 2024","44.28","8.28","1.17"
"NIFTY INDIA CONSUMPTION","09 Feb 2024","44.63","8.33","1.16"
"NIFTY INDIA CONSUMPTION","08 Feb 2024","44.72","8.34","1.16"
"NIFTY INDIA CONSUMPTION","07 Feb 2024","44.83","8.38","1.02"
"NIFTY INDIA CONSUMPTION","06 Feb 2024","44.49","8.30","1.03"
"NIFTY INDIA CONSUMPTION","05 Feb 2024","44.16","8.24","1.04"
"NIFTY INDIA CONSUMPTION","02 Feb 2024","44.61","8.30","1.03"
"NIFTY INDIA CONSUMPTION","01 Feb 2024","44.96","8.31","1.03"
"NIFTY INDIA CONSUMPTION","31 Jan 2024","44.92","8.30","1.03"
"NIFTY INDIA CONSUMPTION","30 Jan 2024","44.51","8.21","1.04"
"NIFTY INDIA CONSUMPTION","29 Jan 2024","44.92","8.28","1.03"
"NIFTY INDIA CONSUMPTION","25 Jan 2024","44.79","8.22","1.04"
"NIFTY INDIA CONSUMPTION","24 Jan 2024","45.10","8.27","1.03"
"NIFTY INDIA CONSUMPTION","23 Jan 2024","44.58","8.17","1.05"
"NIFTY INDIA CONSUMPTION","20 Jan 2024","45.04","8.25","1.04"
"NIFTY INDIA CONSUMPTION","19 Jan 2024","45.38","8.31","1.03"
"NIFTY INDIA CONSUMPTION","18 Jan 2024","44.88","8.19","1.04"
"NIFTY INDIA CONSUMPTION","17 Jan 2024","45.21","8.25","1.04"
"NIFTY INDIA CONSUMPTION","16 Jan 2024","45.61","8.33","1.03"
"NIFTY INDIA CONSUMPTION","15 Jan 2024","45.68","8.34","1.02"
"NIFTY INDIA CONSUMPTION","12 Jan 2024","45.38","8.28","1.03"
"NIFTY INDIA CONSUMPTION","11 Jan 2024","45.22","8.25","1.04"
"NIFTY INDIA CONSUMPTION","10 Jan 2024","45.10","8.23","1.04"
"NIFTY INDIA CONSUMPTION","09 Jan 2024","45.05","8.22","1.04"
"NIFTY INDIA CONSUMPTION","08 Jan 2024","44.84","8.18","1.04"
"NIFTY INDIA CONSUMPTION","05 Jan 2024","45.34","8.28","1.03"
"NIFTY INDIA CONSUMPTION","04 Jan 2024","45.39","8.28","1.03"
"NIFTY INDIA CONSUMPTION","03 Jan 2024","45.06","8.22","1.04"
"NIFTY INDIA CONSUMPTION","02 Jan 2024","44.94","8.20","1.04"
"NIFTY INDIA CONSUMPTION","01 Jan 2024","45.08","8.23","1.04"
"NIFTY INDIA CONSUMPTION","29 Dec 2023","45.21","8.25","1.04"
"NIFTY INDIA CONSUMPTION","28 Dec 2023","45.15","8.24","1.03"
"NIFTY INDIA CONSUMPTION","27 Dec 2023","44.72","8.16","1.04"
"NIFTY INDIA CONSUMPTION","26 Dec 2023","44.32","8.09","1.05"
"NIFTY INDIA CONSUMPTION","22 Dec 2023","43.91","8.01","1.06"
"NIFTY INDIA CONSUMPTION","21 Dec 2023","43.52","7.94","1.06"
"NIFTY INDIA CONSUMPTION","20 Dec 2023","43.35","7.91","1.07"
"NIFTY INDIA CONSUMPTION","19 Dec 2023","44.00","8.03","1.05"
"NIFTY INDIA CONSUMPTION","18 Dec 2023","43.82","7.99","1.06"
"NIFTY INDIA CONSUMPTION","15 Dec 2023","43.81","7.99","1.06"
"NIFTY INDIA CONSUMPTION","14 Dec 2023","43.87","8.01","1.06"
"NIFTY INDIA CONSUMPTION","13 Dec 2023","43.62","7.96","1.06"
"NIFTY INDIA CONSUMPTION","12 Dec 2023","43.29","7.90","1.07"
"NIFTY INDIA CONSUMPTION","11 Dec 2023","43.52","7.94","1.06"
"NIFTY INDIA CONSUMPTION","08 Dec 2023","43.38","7.92","1.07"
"NIFTY INDIA CONSUMPTION","07 Dec 2023","43.63","7.96","1.06"
"NIFTY INDIA CONSUMPTION","06 Dec 2023","43.72","7.98","1.06"
"NIFTY INDIA CONSUMPTION","05 Dec 2023","43.53","7.94","1.06"
"NIFTY INDIA CONSUMPTION","04 Dec 2023","43.31","7.90","1.07"
"NIFTY INDIA CONSUMPTION","01 Dec 2023","42.80","7.81","1.08"
"NIFTY INDIA CONSUMPTION","30 Nov 2023","42.53","7.76","1.09"
"NIFTY INDIA CONSUMPTION","29 Nov 2023","42.11","7.68","1.10"
"NIFTY INDIA CONSUMPTION","28 Nov 2023","41.83","7.63","1.11"
"NIFTY INDIA CONSUMPTION","24 Nov 2023","41.59","7.59","1.11"
"NIFTY INDIA CONSUMPTION","23 Nov 2023","41.72","7.61","1.11"
"NIFTY INDIA CONSUMPTION","22 Nov 2023","41.59","7.59","1.11"
"NIFTY INDIA CONSUMPTION","21 Nov 2023","41.49","7.57","1.12"
"NIFTY INDIA CONSUMPTION","20 Nov 2023","41.42","7.56","1.12"
"NIFTY INDIA CONSUMPTION","17 Nov 2023","41.45","7.56","1.12"
"NIFTY INDIA CONSUMPTION","16 Nov 2023","41.17","7.51","1.12"
"NIFTY INDIA CONSUMPTION","15 Nov 2023","41.00","7.48","1.12"
"NIFTY INDIA CONSUMPTION","13 Nov 2023","40.46","7.41","1.14"
"NIFTY INDIA CONSUMPTION","12 Nov 2023","40.56","7.43","1.13"
"NIFTY INDIA CONSUMPTION","10 Nov 2023","40.39","7.40","1.14"
"NIFTY INDIA CONSUMPTION","09 Nov 2023","40.38","7.40","1.13"
"NIFTY INDIA CONSUMPTION","08 Nov 2023","40.53","7.40","1.12"
"NIFTY INDIA CONSUMPTION","07 Nov 2023","40.20","7.35","1.13"
"NIFTY INDIA CONSUMPTION","06 Nov 2023","40.16","7.34","1.12"
"NIFTY INDIA CONSUMPTION","03 Nov 2023","39.90","7.29","1.12"
"NIFTY INDIA CONSUMPTION","02 Nov 2023","39.56","7.21","1.12"
"NIFTY INDIA CONSUMPTION","01 Nov 2023","39.13","7.15","1.06"
"NIFTY INDIA CONSUMPTION","31 Oct 2023","39.33","7.18","1.10"
"NIFTY INDIA CONSUMPTION","30 Oct 2023","39.91","7.18","1.14"
"NIFTY INDIA CONSUMPTION","27 Oct 2023","40.12","7.19","1.14"
"NIFTY INDIA CONSUMPTION","26 Oct 2023","39.72","7.11","1.15"
"NIFTY INDIA CONSUMPTION","25 Oct 2023","40.32","7.22","1.13"
"NIFTY INDIA CONSUMPTION","23 Oct 2023","40.56","7.26","1.13"
"NIFTY INDIA CONSUMPTION","20 Oct 2023","41.17","7.34","1.12"
"NIFTY INDIA CONSUMPTION","19 Oct 2023","41.50","7.40","1.11"
"NIFTY INDIA CONSUMPTION","18 Oct 2023","41.51","7.39","1.11"
"NIFTY INDIA CONSUMPTION","17 Oct 2023","41.70","7.42","1.10"
"NIFTY INDIA CONSUMPTION","16 Oct 2023","41.55","7.40","1.11"
"NIFTY INDIA CONSUMPTION","13 Oct 2023","41.63","7.41","1.11"
"NIFTY INDIA CONSUMPTION","12 Oct 2023","41.52","7.39","1.11"
